Symbol,Lambda,Cluster,Close,Change,Volume,Market Cap,EPS,Beta (1Y),Sector,Name,image_url,Trend
UCL,0.2745901451743327,0,1.45,8.208955223880587,324760,54805882.0,0.0935,0.096139535,Technology Services,uCloudlink Group Inc.,https://financialmodelingprep.com/image-stock/UCL.png,Tăng
DDI,0.274592135185642,0,10.1,2.6422764227642253,10174,500489755.0,2.3712,0.46836036,Technology Services,"DoubleDown Interactive Co., Ltd. - American Depository Shares",https://logo.clearbit.com/ddi.com,Giảm hoặc Sideway
TSSI,0.2745973147029421,0,13.18,7.591836734693875,2291325,329770175.0,0.3934,4.664178,Technology Services,"TSS, Inc.",https://financialmodelingprep.com/image-stock/TSSI.png,Tăng
INTU,0.2746088218585182,0,720.13,8.116264056330406,5327730,200878097967.0,12.3857,0.5915687,Technology Services,Intuit Inc.,https://financialmodelingprep.com/image-stock/INTU.png,Tăng
MNDO,0.2746178109247388,0,1.49,2.758620689655175,19096,30345825.000000004,0.1852,0.62562615,Technology Services,MIND C.T.I. Ltd.,https://financialmodelingprep.com/image-stock/MNDO.png,Giảm hoặc Sideway
GIBO,0.2746216658324581,0,3.715,7.060518731988462,264460,18357011.23,0.0346,-0.061151206,Technology Services,GIBO Holdings Limited,https://financialmodelingprep.com/image-stock/GIBO.png,Giảm hoặc Sideway
MMYT,0.2746241359292866,0,103.37,2.620867666037924,357390,11348216215.0,0.844,1.4591004,Technology Services,MakeMyTrip Limited,https://financialmodelingprep.com/image-stock/MMYT.png,Giảm hoặc Sideway
MRX,0.2746393280270137,0,44.86,2.4902901530728725,709763,3195454317.0000005,2.8755,0.63413954,Technology Services,Marex Group plc,https://logo.clearbit.com/mrx.com,Giảm hoặc Sideway
YXT,0.2746540366431153,0,0.97,6.593406593406587,2968,174819804.0,0.2612,0.19075309,Technology Services,YXT.COM GROUP HOLDING LIMITED - American Depository Shares,https://logo.clearbit.com/yxt.com,Giảm hoặc Sideway
SEZL,0.2746566502230338,0,105.31,3.590399370450527,943941,3505379839.0000005,3.1603,3.8671484,Technology Services,Sezzle Inc.,https://financialmodelingprep.com/image-stock/SEZL.png,Tăng
