theta,gamma,k_hat,bic_score,silhouette_score
1.0,0.01,2,12920.0621,0.997
1.0,0.05,1,12875.9947,
1.0,0.1,2,6053.0621,0.833
1.0,0.2,3,8677.4851,0.812
1.0,0.5,1,7072.7891, 0.624 
1.0,1.0,3,8678.33,0.734
10.0,0.01,2,5671.0915,0.548
10.0,0.05,10,5385.6359,0.508
10.0,0.1,10,5385.2969,0.506
10.0,0.2,8,4752.7113,0.473
10.0,0.5,1,3087.2550,0.541
10.0,1.0,2,3959.9919,0.633
